share_name                     ,number,first_date,last_date
                               ,908101.FFM,04.01.2019,01.01.2019
                               ,A2H5JL.FFM,07.02.2020,07.02.2020
                               ,A3H22F.FFM,07.12.2020,22.01.2021
                               ,A1H6VM.FFM,13.11.2020,22.01.2021
                               ,675700.FFM,13.11.2020,22.01.2021
                               ,A0D88T.FFM,13.11.2020,22.01.2021
                               ,A28882.FFM,13.11.2020,22.01.2021
                               ,A2LQ90.FFM,13.11.2020,22.01.2021
                               ,A12UKK.FFM,13.11.2020,22.01.2021
                               ,856090.FFM,13.11.2020,22.01.2021
                               ,866405.FFM,13.11.2020,23.04.2021
                               ,A2QE55.FFM,13.11.2020,23.04.2021
                               ,601300.FFM,13.11.2020,23.04.2021
                               ,BFB0V2.FFM,13.11.2020,23.04.2021
                               ,A1JQVM.FFM,13.11.2020,23.04.2021
                               ,A0MRUV.FFM,15.01.2021,23.04.2021
                               ,857530.FFM,15.01.2021,23.04.2021
                               ,909304.FFM,15.01.2021,23.04.2021
                               ,TUAG10.FFM,15.01.2021,23.04.2021
                               ,A2N7NF.FFM,15.02.2019,15.02.2019
                               ,A1T9FK.FFM,21.08.2020,21.08.2020
                               ,A25426.FFM,21.08.2020,21.08.2020
                               ,A289AV.FFM,21.08.2020,21.08.2020
                               ,A3H23R.FFM,27.01.2021,23.04.2021
                               ,A1W0TN.FFM,30.09.2020,22.01.2021
                               ,A254U8.FFM,30.09.2020,30.10.2020
                               ,A289AA.FFM,30.09.2020,30.10.2020
1+1 DRILLISCH AG O.N.          ,554550.FFM,13.11.2020,23.04.2021
1+1 DRILLISCH AG O.N.          ,554550.ETR,13.11.2020,23.04.2021
11 88 0 SOLUTIONS AG           ,511880.FFM,13.11.2020,23.04.2021
11 88 0 SOLUTIONS AG           ,511880.ETR,13.11.2020,23.04.2021
2G ENERGY AG                   ,A0HL8N.FFM,13.11.2020,23.04.2021
2G ENERGY AG                   ,A0HL8N.ETR,13.11.2020,23.04.2021
2INVEST AG  NA O.N.            ,A3H3L4.ETR,26.03.2021,23.04.2021
2INVEST AG  NA O.N.            ,A3H3L4.FFM,26.03.2021,23.04.2021
3 D SYS CORP.     DL-*001      ,888346.FFM,13.11.2020,23.04.2021
3 D SYS CORP.     DL-*001      ,888346.ETR,13.11.2020,23.04.2021
3M CO.             DL-*01      ,851745.FFM,13.11.2020,23.04.2021
3M CO.             DL-*01      ,851745.ETR,13.11.2020,23.04.2021
